Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,duration_of_chronic_exposure,pretreatment_temp,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection,location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
Spea,hammondii,40,tmax,,,10-100,critical,righting_ability,1,NA,23,2.5w,NA,summer,31,,304.8,"Mexico, Sonora",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Pelobatidae,,terrestrial,
Spea,hammondii,1.25,tmin,,,10-100,lethal,temperature_at_50%_damage_after_24h_treatment,NA,24h,23,7d,NA,summer,31,,304.8,"Mexico, Sonora",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Pelobatidae,,terrestrial,average value of Ctmin (between 0-2.5)
Bufo,boreas,35,tmax,,,10-100,critical,righting_ability,1,NA,5,2.5w,NA,summer,34,,304.8,"Californa, El Toro",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,36,tmax,,,10-100,critical,righting_ability,1,NA,15,2.5w,NA,summer,34,,304.8,"Californa, El Toro",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,37.8,tmax,,,10-100,critical,righting_ability,1,NA,30,2.5w,NA,summer,34,,304.8,"Californa, El Toro",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,34.9,tmax,,,10-100,critical,righting_ability,1,NA,5,2.5w,NA,summer,34,,304.8,"California, Hermosa",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,36,tmax,,,10-100,critical,righting_ability,1,NA,15,2.5w,NA,summer,34,,304.8,"California, Hermosa",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,38.1,tmax,,,10-100,critical,righting_ability,1,NA,30,2.5w,NA,summer,34,,304.8,"California, Hermosa",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,35.2,tmax,,,10-100,critical,righting_ability,1,NA,5,2.5w,NA,summer,34,,304.8,"California, Whittier",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,34,tmax,,,10-100,critical,righting_ability,1,NA,5,2.5w,NA,summer,52,,304.8,"British Columbia, Clinton",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,35.5,tmax,,,10-100,critical,righting_ability,1,NA,30,2.5w,NA,summer,52,,304.8,"British Columbia, Clinton",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,34.1,tmax,,,10-100,critical,righting_ability,1,NA,5,2.5w,NA,summer,35,,304.8,"California, Dry Lake",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Bufo,boreas,36.5,tmax,,,10-100,critical,righting_ability,1,NA,30,2.5w,NA,summer,35,,304.8,"California, Dry Lake",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,,terrestrial,
Crinia,parainsignifera,34,tmax,,,7,critical,righting_ability,1,NA,10,10d,NA,winter,-37,,304.8,"Victoria, Warrenbayne, Australia",Brattstrom_1970,adult,Chordata,Amphibia,Anura,Myobatrachidae,,terrestrial,
